20:50:49
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
-0.75,0.61,0.12,-0.89,-0.14,2.73,22819
-0.75,0.61,0.11,-1.17,0.34,2.95,22820
-0.75,0.61,0.13,-1.12,0.13,2.85,22821
-0.73,0.61,0.11,-1.04,-0.06,2.66,22822
-0.74,0.62,0.11,-0.96,0.05,2.69,22823
-0.75,0.61,0.12,-1.01,0.11,2.63,22824
-0.75,0.61,0.13,-0.93,0.15,2.67,22825
-0.74,0.62,0.10,-1.04,0.14,2.63,22826
-0.74,0.61,0.12,-1.10,0.18,2.83,22827
-0.74,0.62,0.12,-1.02,0.27,2.60,22828
-0.75,0.62,0.12,-1.27,0.17,2.62,22829
-0.75,0.62,0.12,-1.08,0.03,2.46,22830
-0.74,0.61,0.11,-1.00,0.07,2.45,22831
-0.75,0.61,0.11,-1.13,-0.02,2.63,22832
-0.75,0.61,0.12,-1.21,0.19,2.60,22833
-0.75,0.61,0.13,-0.89,0.14,2.69,22834
-0.75,0.61,0.11,-1.15,0.05,2.64,22835
-0.76,0.61,0.12,-1.15,0.17,2.62,22836
-0.75,0.61,0.12,-1.20,0.09,2.68,22837
-0.75,0.61,0.12,-0.92,0.15,2.72,22838
-0.76,0.61,0.11,-1.22,0.02,2.75,22839
-0.75,0.61,0.12,-1.08,0.24,2.60,22840
-0.75,0.61,0.11,-0.84,0.02,2.78,22841
-0.75,0.61,0.11,-1.18,0.07,2.56,22842
-0.74,0.61,0.12,-1.22,0.12,2.76,22843
-0.76,0.61,0.12,-0.83,0.17,2.56,22844
-0.76,0.61,0.11,-1.04,-0.02,2.49,22845
-0.75,0.61,0.12,-0.98,0.01,2.66,22846
-0.75,0.61,0.12,-0.98,0.23,2.53,22847
-0.74,0.61,0.12,-1.14,0.15,2.59,22848
-0.75,0.61,0.12,-0.94,-0.07,2.59,22849
-0.74,0.61,0.13,-1.00,0.27,2.64,22850
-0.74,0.61,0.12,-1.10,0.12,2.47,22851
-0.75,0.62,0.12,-1.00,-0.06,2.64,22852
-0.75,0.61,0.12,-1.05,0.11,2.71,22853
-0.75,0.61,0.11,-1.07,0.24,2.64,22854
-0.75,0.62,0.12,-1.18,0.15,2.72,22855
-0.74,0.61,0.11,-1.05,0.14,2.69,22856
-0.75,0.62,0.11,-1.00,0.06,2.66,22857
-0.74,0.61,0.11,-0.95,0.02,2.89,22858
-0.75,0.61,0.12,-1.03,0.11,2.53,22859
-0.75,0.61,0.11,-0.90,0.08,2.56,22860
-0.75,0.61,0.12,-1.25,0.19,2.55,22861
-0.75,0.61,0.12,-0.88,0.05,2.50,22862
-0.74,0.62,0.11,-1.09,0.17,2.82,22863
-0.75,0.61,0.10,-1.08,0.16,2.56,22864
-0.75,0.61,0.11,-1.18,0.11,2.49,22865
-0.75,0.61,0.12,-1.11,0.05,2.57,22866
-0.75,0.61,0.11,-1.05,0.11,2.66,22867
-0.74,0.61,0.11,-1.15,0.10,2.73,22868
-0.75,0.61,0.13,-0.94,0.00,2.72,22869
-0.74,0.61,0.12,-1.02,0.08,2.75,22870
-0.75,0.61,0.12,-1.12,0.12,2.66,22871
-0.75,0.61,0.12,-1.02,0.19,2.75,22872
-0.75,0.61,0.12,-0.97,0.09,2.66,22873
-0.75,0.61,0.12,-0.99,-0.02,2.63,22874
-0.76,0.62,0.11,-1.00,0.08,2.78,22875
-0.74,0.62,0.12,-1.21,0.15,2.50,22876
-0.75,0.62,0.13,-1.08,0.07,2.61,22877
-0.75,0.61,0.12,-1.14,0.04,2.69,22878
-0.74,0.61,0.12,-1.11,-0.11,2.47,22879
-0.75,0.61,0.12,-1.01,0.21,2.71,22880
-0.75,0.61,0.12,-1.05,0.01,2.66,22881
-0.75,0.61,0.12,-1.13,0.24,2.56,22882
-0.76,0.60,0.11,-0.89,-0.08,2.56,22883
-0.76,0.61,0.11,-1.05,0.21,2.52,22884
-0.74,0.61,0.12,-0.98,0.30,2.27,22885
-0.76,0.60,0.11,-1.04,0.20,2.47,22886
-0.77,0.60,0.12,-0.92,-0.02,2.31,22887
-0.77,0.60,0.11,-0.95,-0.03,2.56,22888
-0.76,0.61,0.12,-0.91,0.01,3.11,22889
-0.75,0.62,0.11,-0.79,0.14,2.77,22890
-0.75,0.61,0.11,-0.43,-0.39,3.67,22891
-0.71,0.67,0.12,-1.50,-0.12,2.92,22892
-0.73,0.63,0.15,-0.56,0.17,1.97,22893
-0.74,0.63,0.08,-0.78,-0.29,1.56,22894
-0.76,0.59,0.15,-1.41,-0.90,1.71,22895
-0.76,0.56,0.18,1.11,-0.84,2.02,22896
-0.79,0.61,0.04,-0.63,-0.44,3.46,22897
-0.74,0.62,0.13,-2.32,0.43,3.97,22898
-0.72,0.63,0.15,-0.66,0.93,3.12,22899
-0.75,0.67,0.03,-1.77,0.92,2.38,22900
-0.74,0.64,0.12,-2.73,0.80,2.14,22901
-0.74,0.59,0.18,-0.57,0.32,1.44,22902
-0.78,0.59,0.07,-0.76,0.06,2.40,22903
-0.78,0.58,0.12,-1.64,-0.34,3.19,22904
-0.75,0.57,0.18,0.00,-0.28,3.34,22905
-0.75,0.63,0.07,-0.50,0.23,3.55,22906
-0.72,0.68,0.08,-2.64,0.35,3.39,22907
-0.74,0.63,0.21,-0.82,0.55,1.74,22908
-0.75,0.64,0.04,-0.23,0.68,1.26,22909
-0.77,0.61,0.06,-3.00,0.63,2.11,22910
-0.75,0.53,0.21,-1.24,0.61,2.52,22911
-0.77,0.57,0.09,0.09,0.56,3.70,22912
-0.78,0.64,0.00,-2.50,0.01,4.40,22913
-0.71,0.61,0.23,-1.37,-0.05,3.35,22914
-0.73,0.64,0.14,0.71,-0.17,1.77,22915
-0.75,0.66,0.02,-1.76,-0.24,1.75,22916
-0.74,0.59,0.19,-1.60,-0.15,1.73,22917
-0.76,0.58,0.14,0.41,0.08,2.14,22918
-0.78,0.61,0.02,-1.62,0.24,3.34,22919
-0.75,0.59,0.14,-1.85,0.18,3.89,22920
-0.74,0.63,0.16,-0.03,0.00,3.36,22921
-0.75,0.67,0.04,-1.20,0.07,2.54,22922
-0.73,0.64,0.13,-2.26,0.06,2.14,22923
