20:28:25
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
0.79,0.41,0.47,-1.05,1.23,-2.21,97649
0.79,0.40,0.47,-0.92,0.94,-2.19,97650
0.79,0.40,0.46,-0.92,1.06,-2.14,97651
0.79,0.40,0.46,-0.92,1.28,-2.26,97652
0.79,0.40,0.47,-1.04,1.15,-2.24,97653
0.79,0.41,0.47,-1.05,1.21,-2.34,97654
0.78,0.40,0.46,-1.15,1.15,-2.16,97655
0.79,0.41,0.47,-1.15,1.25,-2.50,97656
0.79,0.40,0.47,-1.22,1.15,-2.30,97657
0.79,0.40,0.48,-1.05,1.18,-2.51,97658
0.78,0.40,0.48,-1.35,1.02,-2.66,97659
0.78,0.40,0.46,-1.35,0.97,-2.72,97660
0.79,0.40,0.47,-1.17,1.05,-2.66,97661
0.78,0.41,0.47,-1.12,0.99,-2.64,97662
0.79,0.40,0.47,-1.16,0.80,-2.79,97663
